Season,Time,NumPlayers,NumRookies
1951,0.9289779663085938,189,189
1952,0.9822831153869629,136,44
1953,1.02891206741333,162,50
1954,0.9630038738250732,135,44
1955,0.9971232414245605,130,44
1956,1.1936590671539307,108,37
1957,1.3522398471832275,115,28
1958,1.1104159355163574,111,21
1959,1.089277982711792,110,29
1960,1.3035650253295898,123,21
1961,0.9599471092224121,104,22
1962,1.1587848663330078,136,41
1963,1.1660308837890625,133,38
1964,1.638545036315918,135,23
1965,1.4075446128845215,132,29
1966,1.2937660217285156,135,23
1967,1.3424179553985596,133,32
1968,1.5418510437011719,177,48
1969,1.3809473514556885,206,47
1970,1.4632248878479004,201,33
1971,1.623610019683838,245,69
1972,1.717301845550537,265,49
1973,1.9818949699401855,269,45
1974,1.848140001296997,245,44
1975,1.9021039009094238,276,54
1976,2.1641087532043457,274,56
1977,2.4124109745025635,357,130
1978,3.0226759910583496,374,67
1979,2.538881778717041,344,66
1980,2.2611119747161865,357,59
1981,2.3172831535339355,363,91
1982,2.1778600215911865,373,73
1983,2.1703200340270996,391,74
1984,2.183450222015381,343,58
1985,2.1262948513031006,362,61
1986,2.451910972595215,379,72
1987,2.3795199394226074,378,75
1988,2.5421111583709717,426,74
1989,2.9377710819244385,438,94
1990,2.9577741622924805,459,86
1991,2.9301083087921143,441,82
1992,2.609251022338867,458,68
1993,2.579132080078125,449,73
1994,2.815906047821045,481,76
1995,2.6403181552886963,452,65
1996,2.9999871253967285,545,77
1997,4.303391933441162,574,83
1998,3.857318162918091,547,74
1999,3.463139057159424,507,72
2000,3.828458070755005,496,66
2001,3.7129909992218018,537,80
2002,3.2665529251098633,500,79
2003,3.4136240482330322,483,76
2004,4.14618182182312,585,73
2005,4.985229969024658,585,78
2006,4.294830083847046,563,90
2007,4.204473257064819,516,85
2008,4.43660306930542,595,73
2009,4.0103230476379395,582,66
2010,4.560662031173706,578,74
2011,5.114409923553467,625,83
2012,4.3359479904174805,551,88
2013,4.472287893295288,573,85
2014,4.552994012832642,611,92
2015,4.644901275634766,651,104
2016,4.439402103424072,578,79
2017,4.55377197265625,595,100
2018,5.085166931152344,664,126
2019,6.063610076904297,708,116
2020,5.927876949310303,624,121
