Season,Time,NumPlayers,NumRookies
1974,1.396261215209961,245,245
1975,1.7390401363372803,276,58
1976,1.61037015914917,274,60
1977,2.063471794128418,357,131
1978,2.074126720428467,374,67
1979,2.0597379207611084,344,66
1980,2.337301015853882,357,60
1981,2.174391031265259,363,91
1982,2.343780994415283,373,74
1983,2.2974367141723633,391,75
1984,2.0423097610473633,343,58
1985,2.0866382122039795,362,61
1986,2.508514881134033,379,72
1987,2.249667167663574,378,75
1988,3.1232218742370605,426,74
1989,2.662687063217163,438,94
1990,3.212761163711548,459,86
1991,3.3975377082824707,441,82
1992,3.1064069271087646,458,68
1993,3.4064130783081055,449,73
1994,3.944911241531372,481,76
1995,3.1605098247528076,452,65
1996,3.216367721557617,545,77
1997,3.729079008102417,574,83
1998,3.4164552688598633,547,74
1999,3.0782389640808105,507,72
2000,2.8895649909973145,496,66
2001,3.269477128982544,537,80
2002,3.227860927581787,500,79
2003,3.240219831466675,483,76
2004,3.4858250617980957,585,73
2005,3.723726749420166,585,79
2006,3.610245943069458,563,90
2007,3.646484851837158,516,85
2008,3.829159736633301,595,73
2009,3.6028730869293213,582,66
2010,3.683419942855835,578,74
2011,3.835740804672241,625,83
2012,3.5971851348876953,551,88
2013,5.125018835067749,573,85
2014,4.053786039352417,611,92
2015,4.51168417930603,651,104
2016,5.214533805847168,578,79
2017,4.854154825210571,595,100
2018,5.4190709590911865,664,126
2019,6.296410799026489,708,117
2020,6.2584850788116455,624,121
